handle,name,url,httpStatus,shopifyStatus,bioLen,viewpointEmpty,viewpointParseError,masterworksEmpty,imagePresent,imagePermission,deathYear
hidai-tenrai,"比田井 天来",https://atspect.com/pages/artist/hidai-tenrai,200,ACTIVE,154,false,false,false,false,未取得,"1939"
bundo-shunkai,"豊道 春海",https://atspect.com/pages/artist/bundo-shunkai,200,ACTIVE,134,false,false,false,false,未取得,"1970"
tsujimoto-shiyu,"辻本 史邑",https://atspect.com/pages/artist/tsujimoto-shiyu,200,ACTIVE,132,false,false,false,false,未取得,"1957"
suzuki-suiken,"鈴木 翠軒",https://atspect.com/pages/artist/suzuki-suiken,200,ACTIVE,125,false,false,false,false,未取得,"1976"
nishikawa-yasushi,"西川 寧",https://atspect.com/pages/artist/nishikawa-yasushi,200,ACTIVE,195,false,false,false,false,未取得,"1989"
teshima-yukei,"手島 右卿",https://atspect.com/pages/artist/teshima-yukei,200,ACTIVE,172,false,false,false,false,未取得,"1987"
hibino-goho,"日比野 五鳳",https://atspect.com/pages/artist/hibino-goho,200,ACTIVE,144,false,false,false,false,未取得,"1985"
aoyama-san-u,"青山 杉雨",https://atspect.com/pages/artist/aoyama-san-u,200,ACTIVE,151,false,false,false,false,未取得,"1993"
ueda-sokyu,"上田 桑鳩",https://atspect.com/pages/artist/ueda-sokyu,200,ACTIVE,151,false,false,false,false,未取得,"1968"
kaneko-otei,"金子 鷗亭",https://atspect.com/pages/artist/kaneko-otei,200,ACTIVE,157,false,false,false,false,未取得,"2001"
ando-seiku,"安東 聖空",https://atspect.com/pages/artist/ando-seiku,200,ACTIVE,139,false,false,false,false,未取得,"1983"
matsumoto-hosui,"松本 芳翠",https://atspect.com/pages/artist/matsumoto-hosui,200,ACTIVE,115,false,false,false,false,未取得,"1971"
kuwahara-suiho,"桑原 翠邦",https://atspect.com/pages/artist/kuwahara-suiho,200,ACTIVE,122,false,false,false,false,未取得,"1995"
hidai-nankoku,"比田井 南谷",https://atspect.com/pages/artist/hidai-nankoku,200,ACTIVE,148,false,false,false,false,未取得,"1999"
